date,price,emissions,demand,generation,transfers,gas,coal,wind,solar,hydro,nuclear,biomass,pumped,france,norway,belgium,denmark,ireland,netherlands
2018-06,56.332,223.061,30.583,28.394,2.189,12.460,0.175,4.580,2.349,0.191,6.877,1.796,-0.033,1.812,0.000,0.000,0.000,-0.014,0.391
2018-07,50.500,239.265,27.601,24.647,2.953,11.037,0.096,3.166,2.987,0.080,6.550,1.050,-0.320,1.607,0.000,0.000,0.000,0.462,0.885
2018-08,58.725,166.959,30.518,27.701,2.816,8.957,0.000,8.274,1.356,0.170,7.108,2.108,-0.272,1.857,0.000,0.000,0.000,0.108,0.851
2018-09,62.537,238.265,27.947,25.091,2.857,8.383,1.767,4.262,1.482,0.472,7.280,1.504,-0.059,1.713,0.000,0.000,0.000,0.321,0.823
2018-10,65.172,291.816,33.432,31.871,1.561,16.738,2.067,3.476,0.405,0.772,5.693,2.752,-0.032,1.667,0.000,0.000,0.000,-0.600,0.495
2018-11,65.231,293.041,35.898,33.910,1.987,12.709,4.380,7.930,0.473,0.541,6.336,1.509,0.032,1.290,0.000,0.000,0.000,0.134,0.564
2018-12,62.097,186.755,37.965,35.370,2.596,11.355,1.204,13.891,0.057,0.504,6.335,2.072,-0.048,1.623,0.000,0.000,0.000,0.141,0.832
2019-01,57.843,222.959,35.134,33.282,1.853,14.138,1.720,9.844,0.000,0.605,5.117,2.018,-0.159,0.918,0.000,0.000,0.000,0.020,0.914
2019-02,48.173,212.673,33.377,29.425,3.952,12.319,1.631,6.796,0.000,0.569,6.479,1.742,-0.111,1.898,0.000,0.893,0.000,0.283,0.878
2019-03,39.092,153.367,30.861,27.197,3.664,9.271,0.416,9.420,0.000,0.672,5.109,2.334,-0.024,1.805,0.000,0.896,0.000,0.145,0.818
2019-04,40.259,162.102,29.090,26.566,2.524,8.616,0.922,8.739,0.000,0.219,6.199,2.107,-0.235,0.829,0.000,0.500,0.000,0.386,0.809
2019-05,37.062,217.837,27.578,24.346,3.231,13.879,0.175,1.865,0.000,0.145,6.086,2.233,-0.036,1.889,0.000,0.778,0.000,0.285,0.279
2019-06,40.120,210.143,24.452,21.110,3.342,10.826,0.125,3.912,0.000,0.152,3.962,2.311,-0.178,1.690,0.000,0.749,0.000,0.095,0.808
2019-07,43.081,259.204,27.265,24.249,3.015,16.135,0.022,0.855,0.000,0.269,5.375,1.667,-0.075,1.929,0.000,0.897,0.000,-0.711,0.900
2019-08,29.952,148.878,25.318,22.628,2.691,6.913,0.626,7.560,0.000,0.389,5.173,2.065,-0.097,1.539,0.000,0.683,0.000,-0.192,0.661
2019-09,32.036,178.122,23.865,22.156,1.709,9.432,0.124,4.476,0.000,0.563,6.483,1.240,-0.162,0.923,0.000,0.671,0.000,-0.389,0.505
2019-10,44.059,257.306,31.628,29.521,2.107,16.825,0.848,3.228,0.000,0.697,6.353,1.505,0.064,1.256,0.000,0.303,0.000,0.060,0.488
2019-11,44.977,262.245,35.190,34.042,1.148,15.652,2.121,7.560,0.000,0.301,5.618,2.860,-0.071,-0.312,0.000,0.271,0.000,0.290,0.899
2019-12,35.401,175.714,31.335,28.030,3.305,9.016,1.424,9.061,0.000,0.622,5.846,2.236,-0.174,1.816,0.000,0.918,0.000,-0.197,0.768
2020-01,33.205,164.184,33.232,30.380,2.852,7.698,1.887,11.112,0.000,0.634,6.506,2.696,-0.153,1.333,0.000,0.715,0.000,0.248,0.556
